0,Oops!...I Did It Again,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop
1,All The Small Things,1,0.0488,0.0103,0,0.612,0.684,148.726,"rock, pop"
2,Breathe,1,0.029,0.173,0,0.251,0.278,136.859,"pop, country"
3,It's My Life,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,"rock, metal"
4,Bye Bye Bye,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,pop
5,Thong Song,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,"hip hop, pop, R&B"
6,The Real Slim Shady,0,0.0572,0.0302,0,0.0454,0.76,104.504,hip hop
7,Rock DJ,1,0.0322,0.0267,0,0.467,0.861,103.035,"pop, rock"
8,Say My Name,0,0.102,0.273,0,0.149,0.734,138.009,"pop, R&B"
9,Lady - Hear Me Tonight,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,Dance/Electronic
10,L'Amour Toujours,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop
11,Move Your Body - Gabry Ponte Original Radio Edit,1,0.0287,0.0813,0.324,0.533,0.96,129.962,pop
12,Freestyler,0,0.0989,0.0291,0.325,0.252,0.568,163.826,pop
13,Desert Rose,0,0.0304,0.011,0,0.106,0.147,111.989,"rock, pop"
14,Never Be The Same Again,1,0.0478,0.0921,0,0.119,0.398,160.067,"pop, Dance/Electronic"
15,Try Again,0,0.29,0.0807,0,0.0841,0.731,93.02,"hip hop, pop, R&B"
16,I'm Outta Love - Radio Edit,0,0.056,0.396,0,0.0771,0.649,119.41,pop
17,Better Off Alone,0,0.0552,0.00181,0.691,0.285,0.782,136.953,pop
18,The Riddle,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop
19,The Next Episode,0,0.27,0.0281,0,0.0856,0.309,95.295,hip hop
20,In the End,0,0.0584,0.00958,0,0.209,0.4,105.143,"rock, metal"
21,Sexbomb,0,0.0446,0.144,1.38e-05,0.104,0.932,122.979,"rock, Folk/Acoustic, easy listening"
22,It Feels So Good,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,pop
23,Cold as Ice,0,0.143,0.0421,0,0.294,0.758,85.565,hip hop
24,I Turn To You,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205,"pop, Dance/Electronic"
25,Take A Look Around,1,0.046,0.0175,0.306,0.0935,0.512,101.968,metal
26,Sandstorm,0,0.0465,0.141,0.985,0.0797,0.587,136.065,"pop, Dance/Electronic"
27,What'chu Like (feat. Tyrese),0,0.24,0.017,0,0.0669,0.817,99.974,"hip hop, pop, R&B"
28,The Time Is Now,0,0.165,0.35,0.000129,0.277,0.546,127.962,"pop, Dance/Electronic"
29,Don't Give Up,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,Dance/Electronic
30,Party Up,1,0.347,0.0738,0,0.5,0.53,201.936,"hip hop, pop"
31,Dance with Me,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,"pop, R&B"
32,Music,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,pop
33,No More,0,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,R&B
34,Born to Make You Happy,0,0.0454,0.116,0.000465,0.071,0.686,84.11,pop
35,Get It On Tonite,0,0.077,0.241,4.61e-05,0.0817,0.868,99.008,"hip hop, pop, R&B"
36,Spinning Around,0,0.0548,0.292,6.19e-05,0.0956,0.631,120.043,"pop, Dance/Electronic"
37,Big Pimpin',0,0.14,0.168,0.00672,0.0584,0.942,138.083,hip hop
38,I Need You,1,0.0367,0.02,9.58e-05,0.118,0.564,144.705,"pop, country"
39,Separated,1,0.0276,0.247,0,0.237,0.643,108.241,"pop, R&B"
40,Be With You,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,"pop, latin"
41,He Wasn't Man Enough,0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,"pop, R&B"
42,Bounce With Me (feat. Xscape) - Edited Album Version,1,0.168,0.434,0,0.265,0.934,72.016,"hip hop, pop, R&B"
43,Forgot About Dre,1,0.0774,0.0827,0,0.163,0.621,133.974,hip hop
44,Hot Boyz,1,0.291,0.339,0,0.18,0.527,81.125,"hip hop, pop, R&B"
45,Show Me the Meaning of Being Lonely,0,0.0252,0.231,0,0.0765,0.683,167.998,pop
46,Gotta Tell You,0,0.0279,0.191,0,0.166,0.774,109.981,pop
47,Case Of The Ex (Whatcha Gonna Do),0,0.0405,0.0548,9.79e-05,0.0725,0.348,98,"pop, R&B"
48,Shackles (Praise You),1,0.162,0.0343,0,0.0886,0.8,100.46,R&B
49,Wifey,0,0.108,0.067,0,0.0812,0.726,99.581,"hip hop, pop, R&B"
50,Doesn't Really Matter,0,0.076,0.0993,0.00278,0.0981,0.801,99.316,"pop, R&B"
51,She Bangs - English Version,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,"pop, latin"
52,He Can't Love U,0,0.206,0.112,0,0.235,0.508,126.279,"hip hop, pop, R&B"
53,Incomplete,0,0.0771,0.282,0,0.14,0.272,119.311,"hip hop, pop, R&B"
54,I Just Wanna Love U (Give It 2 Me),0,0.24,0.301,9.31e-06,0.0352,0.801,98.631,hip hop
55,Thank God I Found You (feat. Joe & 98°),1,0.0331,0.592,0,0.106,0.148,129.297,"pop, R&B"
56,Who Let The Dogs Out,1,0.0993,0.0605,0,0.148,0.784,129.221,R&B
57,"U Know What''s Up (feat. Lisa '"Left Eye'" Lopes)",0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,"pop, R&B"
58,Can't Fight The Moonlight,0,0.0497,0.403,0,0.051,0.626,97.865,"pop, country"
59,Go Let It Out,1,0.0333,0.0136,2.51e-05,0.56,0.628,84.192,"Folk/Acoustic, rock"
60,Hey Baby (Radio Mix),1,0.046,0.123,0,0.347,0.834,135.099,"pop, easy listening, Dance/Electronic"
61,Most Girls,0,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop
62,Against All Odds (Take A Look at Me Now) (feat. Westlife),1,0.0315,0.584,0,0.103,0.373,117.338,"pop, R&B"
63,Fill Me In,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
64,I Turn to You,1,0.0376,0.38,0,0.111,0.298,127.177,pop
65,American Pie,0,0.036,0.348,0,0.135,0.591,124.036,pop
66,Otherside,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,rock
67,I Like It,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,"hip hop, pop, R&B"
68,7 Days,0,0.0487,0.23,0,0.0951,0.888,83.014,"hip hop, pop, R&B"
69,Maria Maria (feat. The Product G&B),1,0.126,0.0406,0.00201,0.0348,0.68,97.911,"rock, blues, latin"
70,Don't Think I'm Not,1,0.0445,0.0661,0,0.0394,0.433,134.007,"pop, R&B"
71,There You Go,0,0.0917,0.0854,0,0.0452,0.668,107.908,pop
72,Shalala Lala,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop
73,Life Is A Rollercoaster,1,0.0302,0.1,0.000124,0.334,0.862,118.981,"pop, rock"
74,Don't Call Me Baby,0,0.0311,0.0585,0.00689,0.35,0.961,124.999,Dance/Electronic
75,"Jumpin'', Jumpin''",1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,"pop, R&B"
76,That's the Way It Is,1,0.0434,0.154,0,0.118,0.577,93.04,pop
77,Kryptonite,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,"pop, rock, metal"
78,I Wish,1,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,"pop, R&B"
79,Shake Ya Ass,1,0.32,0.0626,0,0.0515,0.666,98.054,"hip hop, pop"
80,Hemorrhage (In My Hands),1,0.0404,0.000127,0.000341,0.24,0.332,152.034,"rock, pop, metal"
81,Where I Wanna Be,0,0.0298,0.52,0,0.268,0.453,102.053,"pop, R&B"
82,Crash and Burn,1,0.028,0.189,1.6e-06,0.0882,0.213,102.03,pop
83,My Love,1,0.0255,0.098,0,0.257,0.328,144.142,pop
84,Pure Shores,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop
85,"Independent Women, Pt. 1",0,0.206,0.362,3.69e-06,0.169,0.927,97.954,"pop, R&B"
86,It's Gonna Be Me,0,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,pop
87,Bag Lady,0,0.0841,0.365,0,0.0969,0.578,151.181,"hip hop, R&B"
88,You Sang To Me,1,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,"pop, latin"
89,Bent,0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,"pop, rock"
90,Rise,1,0.026,0.315,8.83e-06,0.09,0.631,144.673,"pop, R&B"
91,Shape of My Heart,1,0.0296,0.252,0,0.159,0.518,96.102,pop
92,With Arms Wide Open,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,"pop, rock, metal"
93,Breathless,1,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,"pop, Folk/Acoustic"
94,I Wanna Know,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,"pop, R&B"
95,Teenage Dirtbag,1,0.0495,0.346,0.000233,0.174,0.633,94.661,set()
96,Come on over Baby (All I Want Is You) - Radio Version,1,0.106,0.226,1.25e-05,0.246,0.779,118.903,pop
97,Higher,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,"pop, rock, metal"
