artist,song,duration_ms,explicit,year,popularity,danceability,energy,key
Britney Spears,Oops!...I Did It Again,211160,FALSE,2000,77,0.751,0.834,1
blink-182,All The Small Things,167066,FALSE,1999,79,0.434,0.897,0
Faith Hill,Breathe,250546,FALSE,1999,66,0.529,0.496,7
Bon Jovi,It's My Life,224493,FALSE,2000,78,0.551,0.913,0
*NSYNC,Bye Bye Bye,200560,FALSE,2000,65,0.614,0.928,8
Sisqo,Thong Song,253733,TRUE,1999,69,0.706,0.888,2
Eminem,The Real Slim Shady,284200,TRUE,2000,86,0.949,0.661,5
Robbie Williams,Rock DJ,258560,FALSE,2000,68,0.708,0.772,7
Destiny's Child,Say My Name,271333,FALSE,1999,75,0.713,0.678,5
Modjo,Lady - Hear Me Tonight,307153,FALSE,2001,77,0.72,0.808,6
Gigi D'Agostino,L'Amour Toujours,238759,FALSE,2011,1,0.617,0.728,7
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,FALSE,1999,56,0.745,0.958,7
Bomfunk MC's,Freestyler,306333,FALSE,2000,55,0.822,0.922,11
Sting,Desert Rose,285960,FALSE,1999,62,0.586,0.659,0
Melanie C,Never Be The Same Again,294200,FALSE,1999,61,0.689,0.685,3
Aaliyah,Try Again,284000,FALSE,2002,53,0.797,0.622,6
Anastacia,I'm Outta Love - Radio Edit,245400,FALSE,1999,64,0.761,0.716,10
Alice Deejay,Better Off Alone,214883,FALSE,2000,73,0.671,0.88,8
Gigi D'Agostino,The Riddle,285426,FALSE,1999,64,0.74,0.876,6
Dr. Dre,The Next Episode,161506,TRUE,1999,82,0.922,0.909,10
Linkin Park,In the End,216880,FALSE,2000,83,0.556,0.864,3
Tom Jones,Sexbomb,211893,FALSE,1999,65,0.801,0.876,8
Sonique,It Feels So Good,240866,FALSE,2000,62,0.634,0.677,5
M.O.P.,Cold as Ice,244466,TRUE,2000,54,0.656,0.88,11
Melanie C,I Turn To You,352173,FALSE,1999,54,0.522,0.803,1
Limp Bizkit,Take A Look Around,321040,FALSE,2000,72,0.425,0.852,11
Darude,Sandstorm,225493,FALSE,2001,69,0.528,0.965,11
Da Brat,What'chu Like (feat. Tyrese),221160,TRUE,2000,53,0.879,0.681,10
Moloko,The Time Is Now,318280,FALSE,2000,54,0.682,0.743,9
Chicane,Don't Give Up,210786,FALSE,2016,47,0.644,0.72,10
DMX,Party Up,268866,TRUE,1999,71,0.51,0.931,11
Debelah Morgan,Dance with Me,220106,FALSE,2000,49,0.85,0.674,7
Madonna,Music,225973,FALSE,2000,58,0.736,0.802,7
Ruff Endz,No More,242560,FALSE,2000,52,0.839,0.641,10
Britney Spears,Born to Make You Happy,243533,FALSE,1999,58,0.633,0.922,11
Montell Jordan,Get It On Tonite,276266,FALSE,1999,59,0.813,0.491,10
Kylie Minogue,Spinning Around,207866,FALSE,2000,55,0.761,0.662,6
JAY-Z,Big Pimpin',283066,TRUE,1999,69,0.88,0.814,11
LeAnn Rimes,I Need You,229826,FALSE,2001,61,0.478,0.736,7
Avant,Separated,255600,FALSE,2000,55,0.798,0.48,0
Enrique Iglesias,Be With You,219360,FALSE,1999,54,0.683,0.866,1
Toni Braxton,He Wasn't Man Enough,261933,FALSE,2000,66,0.739,0.947,11
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,FALSE,2000,36,0.852,0.75,8
Dr. Dre,Forgot About Dre,222293,TRUE,1999,79,0.924,0.74,8
Missy Elliott,Hot Boyz,215466,TRUE,1998,49,0.727,0.445,1
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,FALSE,1999,68,0.63,0.625,6
Samantha Mumba,Gotta Tell You,201946,FALSE,2018,43,0.729,0.632,0
Mýa,Case Of The Ex (Whatcha Gonna Do),236906,FALSE,2000,59,0.772,0.688,1
Mary Mary,Shackles (Praise You),198346,FALSE,2000,64,0.779,0.834,7
Next,Wifey,243666,FALSE,2004,52,0.829,0.652,7
Janet Jackson,Doesn't Really Matter,265026,FALSE,2001,47,0.771,0.796,5
Ricky Martin,She Bangs - English Version,280626,FALSE,2000,60,0.63,0.95,1
Jagged Edge,He Can't Love U,244053,FALSE,2000,55,0.721,0.836,8
Sisqo,Incomplete,274226,TRUE,1999,60,0.746,0.443,1
JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,TRUE,2000,59,0.8,0.922,4
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,FALSE,1999,59,0.348,0.532,10
Baha Men,Who Let The Dogs Out,198400,FALSE,2000,65,0.869,0.887,0
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,TRUE,1999,63,0.854,0.543,8
LeAnn Rimes,Can't Fight The Moonlight,215506,FALSE,2001,65,0.628,0.834,6
Oasis,Go Let It Out,278666,FALSE,2000,0,0.408,0.849,2
DJ Ötzi,Hey Baby (Radio Mix),219240,FALSE,2010,58,0.666,0.968,10
P!nk,Most Girls,298960,FALSE,2000,52,0.742,0.732,2
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,FALSE,2011,0,0.471,0.514,1
Craig David,Fill Me In,257200,FALSE,2000,60,0.682,0.744,8
Christina Aguilera,I Turn to You,273706,FALSE,1999,61,0.599,0.47,1
Madonna,American Pie,273533,FALSE,2000,58,0.631,0.734,5
Red Hot Chili Peppers,Otherside,255373,FALSE,1999,78,0.458,0.795,0
Sammie,I Like It,251040,FALSE,2000,55,0.826,0.656,9
Craig David,7 Days,235133,FALSE,2000,70,0.659,0.812,4
Santana,Maria Maria (feat. The Product G&B),261973,FALSE,1999,66,0.777,0.601,2
Kandi,Don't Think I'm Not,243533,FALSE,2000,55,0.859,0.622,11
P!nk,There You Go,202800,FALSE,2000,55,0.822,0.847,10
Vengaboys,Shalala Lala,214819,FALSE,2000,58,0.751,0.901,2
Ronan Keating,Life Is A Rollercoaster,234826,FALSE,2000,59,0.655,0.791,0
