song,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Oops!...I Did It Again,-5.444,0,0.0437,0.3,1.77E-05,0.355,0.894,95.053,pop
All The Small Things,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726,"rock, pop"
Breathe,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,"pop, country"
It's My Life,-4.063,0,0.0466,0.0263,1.35E-05,0.347,0.544,119.992,"rock, metal"
Bye Bye Bye,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,pop
Thong Song,-6.959,1,0.0654,0.119,9.64E-05,0.07,0.714,121.549,"hip hop, pop, R&B"
The Real Slim Shady,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,hip hop
Rock DJ,-4.264,1,0.0322,0.0267,0,0.467,0.861,103.035,"pop, rock"
Say My Name,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,"pop, R&B"
Lady - Hear Me Tonight,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,Dance/Electronic
L'Amour Toujours,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop
Move Your Body - Gabry Ponte Original Radio Edit,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,pop
Freestyler,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826,pop
Desert Rose,-7.92,0,0.0304,0.011,0,0.106,0.147,111.989,"rock, pop"
Never Be The Same Again,-5.153,1,0.0478,0.0921,0,0.119,0.398,160.067,"pop, Dance/Electronic"
Try Again,-5.642,0,0.29,0.0807,0,0.0841,0.731,93.02,"hip hop, pop, R&B"
I'm Outta Love - Radio Edit,-5.8,0,0.056,0.396,0,0.0771,0.649,119.41,pop
Better Off Alone,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,pop
The Riddle,-6.87,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop
The Next Episode,-2.429,0,0.27,0.0281,0,0.0856,0.309,95.295,hip hop
In the End,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,"rock, metal"
Sexbomb,-3.94,0,0.0446,0.144,1.38E-05,0.104,0.932,122.979,"rock, Folk/Acoustic, easy listening"
It Feels So Good,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,pop
Cold as Ice,-5.425,0,0.143,0.0421,0,0.294,0.758,85.565,hip hop
I Turn To You,-5.825,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205,"pop, Dance/Electronic"
Take A Look Around,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,metal
Sandstorm,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,"pop, Dance/Electronic"
What'chu Like (feat. Tyrese),-8.951,0,0.24,0.017,0,0.0669,0.817,99.974,"hip hop, pop, R&B"
The Time Is Now,-10.644,0,0.165,0.35,0.000129,0.277,0.546,127.962,"pop, Dance/Electronic"
Don't Give Up,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,Dance/Electronic
Party Up,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,"hip hop, pop"
Dance with Me,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,"pop, R&B"
Music,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,pop
