index,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,genre,duration_mins
0,0,2014,0,0.789,0.915,0,-3.263,1,0.248,0.0135,8.77e-06,0.66,"pop, Dance/Electronic",3.06
1,0,2013,1,0.797,0.608,6,-6.096,0,0.0584,0.00112,7.66e-05,0.402,"hip hop, pop",4.66
2,1,2002,1,0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.1,hip hop,4.96
3,0,2006,0,0.711,0.761,8,-3.04,1,0.225,0.067,0,0.718,"hip hop, pop",4.06
4,0,2017,1,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.417,pop,3.47
5,1,2002,1,0.759,0.678,9,-5.148,0,0.314,0.23,0,0.327,hip hop,3.43
6,0,2008,0,0.636,0.946,10,-4.683,0,0.332,0.115,3.75e-05,0.891,"hip hop, pop, R&B",3.98
7,0,2005,0,0.939,0.498,5,-10.94,0,0.161,0.0444,0.00128,0.801,"pop, R&B",3.37
8,0,2018,0,0.792,0.895,1,-3.112,0,0.0589,0.165,0,0.794,"pop, latin",3.36
9,0,2014,1,0.747,0.705,9,-5.137,0,0.126,0.0128,0,0.56,"pop, R&B",3.56
10,0,2017,0,0.703,0.832,0,-7.202,0,0.0689,0.00149,0.127,0.667,"pop, Dance/Electronic",3.27
11,0,2016,0,0.766,0.5,11,-7.558,1,0.0695,0.719,5.91e-06,0.71,"hip hop, pop",3.99
12,0,2007,1,0.72,0.668,9,-7.928,1,0.0269,0.0652,0.00664,0.768,pop,4.67
13,1,2014,1,0.742,0.595,9,-7.51,1,0.107,0.15,0,0.431,"hip hop, pop, R&B, Dance/Electronic",3.78
14,1,2016,1,0.895,0.681,7,-5.267,0,0.358,0.157,0,0.554,"hip hop, pop",4
15,0,2018,1,0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.603,"pop, Dance/Electronic",3.12
16,0,2009,1,0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.416,rock,5.35
17,1,2003,1,0.646,0.813,6,-3.846,0,0.299,0.349,9.37e-05,0.895,"hip hop, pop",3.74
18,1,2001,0,0.607,0.637,1,-11.072,1,0.241,0.0191,0,0.818,Dance/Electronic,5.05
19,1,2014,0,0.847,0.769,11,-5.761,0,0.258,0.0145,0.00012,0.626,"hip hop, pop, R&B",3.42
20,0,2012,1,0.661,0.729,7,-6.561,1,0.0376,0.00215,0.0013,0.668,pop,3.87
21,0,2016,1,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.632,pop,3.77
22,0,2017,1,0.548,0.65,8,-5.827,0,0.0591,0.219,0,0.557,"hip hop, pop, Dance/Electronic",3.25
23,0,2018,1,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.877,"rock, pop",2.96
24,1,2013,0,0.681,0.463,6,-6.542,0,0.289,0.128,0,0.661,hip hop,3.93
25,0,2009,1,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.767,pop,3.16
26,1,2001,0,0.969,0.701,1,-7.503,1,0.156,0.14,0.00161,0.905,"hip hop, pop, R&B",4.82
27,1,2011,0,0.364,0.752,2,-5.429,1,0.304,0.0007,0,0.606,"hip hop, pop",4.14
28,1,2015,1,0.618,0.717,7,-5.738,1,0.318,0.00256,0,0.603,"hip hop, pop",3.28
29,0,2000,1,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.888,"hip hop, pop, R&B",3.92
30,1,2019,1,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.327,pop,2.98
31,0,2002,0,0.597,0.97,4,-5.972,0,0.0502,0.000385,0.205,0.717,"rock, easy listening",3.53
32,1,2008,1,0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.773,"hip hop, pop",3.7
33,0,2007,0,0.261,0.562,8,-3.667,1,0.0301,0.423,7.54e-06,0.167,"pop, R&B",4.29
